code_muni,uf,municipality,adoption_year,resolution
5106299,MT,Paranaíta,2026,Nº 26 - 26/07/2026
5106455,MT,Planalto da Serra,2026,Nº 25 - 26/06/2026
5106505,MT,Poconé,2025,Nº 8 - 30/04/2025
5107065,MT,Querência,2026,Nº 25 - 26/06/2026
5107107,MT,São José dos Quatro Marcos,2026,Nº 25 - 26/06/2026
5107602,MT,Rondonópolis,2026,Nº 26 - 26/07/2026
5107800,MT,Santo Antônio do Leverger,2025,Nº 8 - 30/04/2025
5107883,MT,Serra Nova Dourada,2026,Nº 25 - 26/06/2026
5107909,MT,Sinop,2026,N° 28 - 26/08/2026
5107925,MT,Sorriso,2025,Nº 7 - 28/04/2025
5107958,MT,Tangará da Serra,2025,Nº 14 - 16/10/2025
